"# Extract the schema triples in the format: ""subject","predicate","object"""
"# Split the triple into subject","predicate","and object"
"object_ = f""{subject}","{predicate}","Value"""
"# Experiment","subClassOf","NodeWithAttributes"
"Experiment","hasData","Data"
"Experiment","hasCollection","Collection"
"Experiment","hasProcess","Process"
"Experiment","hasFunding","Funding"
"Experiment","hasLocation","Location"
"Experiment","hasEnvironment","Environment"
"Experiment","hasCitation","Citation"
"Experiment","hasComputation","Computation"
"# Funding","asString","xsd:string"
"Funding","asString","xsd:string"
"# Experiment","subClassOf","NodeWithAttributes"
"# Funding","asString","xsd:string"
"# Location","asString","xsd:string"
"Location","asString","xsd:string"
"# Environment","asString","xsd:string"
"Environment","asString","xsd:string"
"# Citation","asString","xsd:string"
"Citation","asString","xsd:string"
"# Computation","asString","xsd:string"
"Computation","asString","xsd:string"
