"Process","hasIngredient","Polyethylene"
"Process","hasIngredient","Dicumyl peroxide (DCP)"
"Process","hasIngredient","Antioxidants"
"Process","hasIngredient","Nanosilica"
"Process","hasCondition","Melt mixed until aggregate size < 100 nm"
"Process","hasCondition","5 wt% nanoparticles loading"
"Process","hasType","Melt processing"
"Process","hasType","Post-cure annealing"
"PhysicalProcess","subClassOf","Process"
"NodeWithAttributes","hasCitation","[15]"
"Process","hasProperty","Vacuum dried for 24 h prior compounding"
"Process","hasProperty","Hot pressing and slow cooling to room temperature"
"Process","hasProperty","Post-cure under vacuum"
