"Experiment","subClassOf","NodeWithAttributes"
"Funding","asString",""
"Experiment","hasData","Data"
"Experiment","hasCollection","Collection"
"Experiment","hasProcess","Process"
"Experiment","hasLocation","MIT Laboratory 3B"
"Experiment","hasEnvironment","Room temperature (298 ± 3 K)"
"Experiment","hasComputation","Computation: No specific computational methods mentioned"
"Collection","subClassOf","NodeWithAttributes"
"Collection","hasReference","Reference: DOI 10.1007/s10853-006-0413-0"
"Data","hasSamplePreparation","PhysicalProcess: Melt mixing and hot pressing with slow cooling"
"Data","hasPhysicalProcess","PhysicalProcess: Post-cure under vacuum"
"Data","hasComputation","Computation: No specific computational details provided"
"Material","hasIdentifier","DOI 10.1007/s10853-006-0413-0"
"Material","hasParentMaterial","Polyethylene"
"Material","hasComputationForcefield","No computation forcefields mentioned"
